,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
-1.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568e-07,5.06493758698e-07,1.33302346454e-09
-1.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-07,8.02738510184e-07,2.11269981435e-09
-0.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185e-06,1.27225480012e-06,3.34840355347e-09
-0.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963e-06,2.01638797178e-06,5.30686199751e-09
-0.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905e-06,3.19575956984e-06,8.41080945318e-09
-0.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568e-06,5.06493758698e-06,1.33302346454e-08
-4.4408920985e-16,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-06,8.02738510184e-06,2.11269981435e-08
0.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,1.4239322185e-05,1.27225480012e-05,3.34840355347e-08
0.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,2.25678047963e-05,2.01638797178e-05,5.30686199751e-08
0.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,3.57675601905e-05,3.19575956984e-05,8.41080945318e-08
0.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,5.66877626568e-05,5.06493758698e-05,1.33302346454e-07
1.0,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,8.98440491307e-05,8.02738510184e-05,2.11269981435e-07
1.2,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.00014239322185,0.000127225480012,3.34840355347e-07
1.4,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.000225678047963,0.000201638797178,5.30686199751e-07
1.6,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.000357675601905,0.000319575956984,8.41080945318e-07
1.8,4504.80821618,40520.0816872,108864.756825,8.98440491307e-06,8.02738510184e-05,0.000211269981435,0.000566877626568,0.000506493758698,1.33302346454e-06
