,kH,kHe,kHeII,hH,hHe,hHeII,nhH,nhHe,nhHeII
-0.8,4504.40502353,40511.7509196,108805.369242,8.9836781491e-06,8.02589587948e-05,0.000211268092875,1.42381703418e-06,1.27201877428e-06,3.34837362181e-09
-0.6,4504.27852115,40509.1615068,108786.915103,8.98345012504e-06,8.02543298856e-05,0.000211267522913,2.25654064772e-06,2.0158976231e-06,5.30680024223e-09
-0.4,4504.11203488,40505.7609652,108762.683796,8.98315002846e-06,8.02482509575e-05,0.000211266779468,3.57625644049e-06,3.19474041305e-06,8.41068198061e-09
-0.2,4503.89284169,40501.2934082,108730.855349,8.98275492526e-06,8.02402645579e-05,0.000211265809286,5.66773519376e-06,5.06281842458e-06,1.33299714007e-08
-4.4408920985e-16,4503.60414615,40495.4217438,108689.034068,8.98223454034e-06,8.02297680512e-05,0.000211264542625,8.98223454034e-06,8.02297680512e-06,2.11264542625e-08
0.2,4503.22377097,40487.7018021,108634.066457,8.98154889693e-06,8.02159673537e-05,0.000211262888114,1.42347957045e-05,1.27133740585e-05,3.34829113191e-08
0.4,4502.72242526,40477.5482189,108561.802116,8.98064519456e-06,8.01978159215e-05,0.00021126072599,2.25583608104e-05,2.0144780565e-05,5.30662951126e-08
0.6,4502.06141485,40464.1894705,108466.780346,8.97945368084e-06,8.01739343281e-05,0.00021125789921,3.57478489799e-05,3.19178181475e-05,8.41032845114e-08
0.8,4501.1896153,40446.6086565,108341.820438,8.97788219358e-06,8.01425043288e-05,0.000211254201748,5.66466070792e-05,5.05665017113e-05,1.33292390145e-07
1.0,4500.03947204,40423.4655987,108177.487988,8.9758089479e-06,8.01011294725e-05,0.000211249363213,8.9758089479e-05,8.01011294725e-05,2.11249363213e-07
1.2,4498.52171794,40392.9945267,107961.403203,8.97307300927e-06,8.00466519725e-05,0.000211243028589,0.000142213623279,0.00012686539379,3.34797637966e-07
1.4,4496.51840368,40352.8700058,107677.350637,8.96946172131e-06,7.99749126337e-05,0.000211234731563,0.000225302691957,0.000200887897906,5.30597656077e-07
1.6,4493.87371411,40300.0318012,107304.144484,8.96469413565e-06,7.98804370749e-05,0.000211223859394,0.000356890901722,0.000318009747865,8.40897330169e-07
1.8,4490.38188973,40230.4571047,106814.202077,8.95839921156e-06,7.97560273313e-05,0.000211209606644,0.000565236777732,0.000503226512112,1.33264252537e-06
2.0,4485.77138215,40138.8660977,106171.785862,8.95008720522e-06,7.95922333761e-05,0.000211190914205,0.000895008720522,0.000795922333761,2.11190914205e-06
